edge_id,node_name,time_slot
1,Bert ST. John,1915
1,Clarence Todd,1915
1,F. Lendrum,1915
1,Gordon Lowe,1915
1,Horace Rice,1915
1,R. Goodman,1915
1,W.H. Smith,1915
2,Bill Johnston,1915
2,C. Griffin,1915
2,Frank Hunter,1915
2,Gordon Lowe,1915
2,I. Wright,1915
2,Maurice McLoughlin,1915
2,Richard Norris Williams,1915
2,T. Pell,1915
2,W. Rand,1915
3,Bill Johnston,1916
3,C. Griffin,1916
3,Gordon Lowe,1916
3,Lindley Murray,1916
3,Maurice McLoughlin,1916
3,Richard Norris Williams,1916
3,T. Pell,1916
4,Bill Johnston,1917
4,C. Griffin,1917
4,Gordon Lowe,1917
4,J. Strachan,1917
4,L. Beekman,1917
4,Lindley Murray,1917
4,Maurice McLoughlin,1917
4,Nathaniel Niles,1917
4,Richard Norris Williams,1917
5,Bill Johnston,1918
5,C. Griffin,1918
5,Gordon Lowe,1918
5,Lindley Murray,1918
5,Maurice McLoughlin,1918
5,Nathaniel Niles,1918
5,Richard Norris Williams,1918
6,Bill Johnston,1919
6,Gerald Patterson,1919
6,Gordon Lowe,1919
6,Lindley Murray,1919
6,Maurice McLoughlin,1919
6,Nathaniel Niles,1919
6,Richard Norris Williams,1919
7,Bill Johnston,1919
7,Bill Tilden,1919
7,Lindley Murray,1919
7,Maurice McLoughlin,1919
7,Richard Norris Williams,1919
8,Bill Johnston,1920
8,Bill Tilden,1920
8,Lindley Murray,1920
8,Maurice McLoughlin,1920
8,Richard Norris Williams,1920
9,Bill Johnston,1920
9,Bill Tilden,1920
9,Lindley Murray,1920
9,Maurice McLoughlin,1920
9,Richard Norris Williams,1920
10,Algernon Kingscote,1920
10,Bill Johnston,1920
10,Bill Tilden,1920
10,James Cecile Parke,1920
10,Lindley Murray,1920
10,Maurice McLoughlin,1920
10,Nathaniel Niles,1920
10,Pat O'Hara-Wood,1920
10,Richard Norris Williams,1920
10,Wallace Johnson,1920
10,Zenzo Shimizu,1920
11,Bill Johnston,1920
11,Bill Tilden,1920
11,Lindley Murray,1920
11,Richard Norris Williams,1920
11,Wallace Johnson,1920
12,Bill Johnston,1921
12,Bill Tilden,1921
12,Wallace Johnson,1921
13,Bill Johnston,1922
13,Bill Tilden,1922
13,Gerald Patterson,1922
13,Wallace Johnson,1922
14,Bill Johnston,1922
14,Bill Tilden,1922
15,Bill Johnston,1922
15,Bill Tilden,1922
16,Bill Johnston,1925
16,Bill Tilden,1925
17,Bill Johnston,1925
17,Bill Tilden,1925
17,Rene Lacoste,1925
18,Bill Johnston,1925
18,Bill Tilden,1925
19,Bill Johnston,1926
19,Bill Tilden,1926
20,Bill Johnston,1926
20,Bill Tilden,1926
21,Bill Johnston,1926
21,Bill Tilden,1926
22,Bill Johnston,1926
22,Bill Tilden,1926
22,Henri Cochet,1926
22,James Anderson,1926
22,Jean Borotra,1926
22,John Hawkes,1926
22,Rene Lacoste,1926
22,Richard Norris Williams,1926
22,Vincent Richards,1926
22,Wallace Johnson,1926
23,Bill Johnston,1927
23,Bill Tilden,1927
23,Gerald Patterson,1927
23,Henri Cochet,1927
23,James Anderson,1927
23,Jean Borotra,1927
23,John Hawkes,1927
23,Rene Lacoste,1927
23,Richard Norris Williams,1927
23,Vincent Richards,1927
23,Wallace Johnson,1927
24,Bill Johnston,1927
24,Bill Tilden,1927
24,Gerald Patterson,1927
24,Henri Cochet,1927
24,Jean Borotra,1927
24,Rene Lacoste,1927
24,Richard Norris Williams,1927
25,Bill Johnston,1927
25,Bill Tilden,1927
25,Gerald Patterson,1927
25,Henri Cochet,1927
25,Jean Borotra,1927
25,John Hawkes,1927
25,Rene Lacoste,1927
25,Richard Norris Williams,1927
26,Bill Johnston,1927
26,Bill Tilden,1927
26,Gerald Patterson,1927
26,Henri Cochet,1927
26,Jean Borotra,1927
26,Rene Lacoste,1927
27,Bill Johnston,1928
27,Bill Tilden,1928
27,Henri Cochet,1928
27,Jean Borotra,1928
27,Rene Lacoste,1928
28,Bill Johnston,1928
28,Bill Tilden,1928
28,Henri Cochet,1928
28,Jean Borotra,1928
28,Rene Lacoste,1928
29,Bill Tilden,1928
29,Henri Cochet,1928
29,Rene Lacoste,1928
30,Bill Tilden,1928
30,Henri Cochet,1928
30,Rene Lacoste,1928
31,Bill Tilden,1929
31,Henri Cochet,1929
31,Rene Lacoste,1929
32,Bill Tilden,1929
32,Henri Cochet,1929
32,Jean Borotra,1929
32,Rene Lacoste,1929
33,Bill Tilden,1929
33,Henri Cochet,1929
33,Jean Borotra,1929
33,Rene Lacoste,1929
34,Bill Tilden,1929
34,Henri Cochet,1929
34,Jean Borotra,1929
34,Rene Lacoste,1929
35,Bill Tilden,1930
35,Henri Cochet,1930
35,Jean Borotra,1930
35,Rene Lacoste,1930
36,Bill Tilden,1930
36,Henri Cochet,1930
36,Jean Borotra,1930
36,Rene Lacoste,1930
37,Bill Tilden,1930
37,Henri Cochet,1930
37,Jean Borotra,1930
37,Rene Lacoste,1930
38,Bill Tilden,1930
38,Henri Cochet,1930
38,John Doeg,1930
38,Rene Lacoste,1930
39,Bill Tilden,1931
39,Henri Cochet,1931
39,John Doeg,1931
39,Rene Lacoste,1931
40,Bill Tilden,1931
40,Henri Cochet,1931
40,Jean Borotra,1931
40,John Doeg,1931
40,Rene Lacoste,1931
41,Bill Tilden,1931
41,Henri Cochet,1931
41,Jean Borotra,1931
41,John Doeg,1931
41,Rene Lacoste,1931
42,Bill Tilden,1931
42,Henri Cochet,1931
42,Jean Borotra,1931
42,John Doeg,1931
42,Rene Lacoste,1931
43,Bill Tilden,1932
43,Henri Cochet,1932
43,Jean Borotra,1932
43,John Doeg,1932
43,Rene Lacoste,1932
44,Bill Johnston,1932
44,Bill Tilden,1932
44,Frank Shields,1932
44,Henri Cochet,1932
44,Jack Crawford,1932
44,Jean Borotra,1932
44,John Doeg,1932
44,Rene Lacoste,1932
45,Bill Johnston,1932
45,Bill Tilden,1932
45,Bunny Austin,1932
45,Ellsworth Vines,1932
45,Frank Shields,1932
45,Henri Cochet,1932
45,Jack Crawford,1932
45,Jean Borotra,1932
45,John Doeg,1932
45,Rene Lacoste,1932
46,Bill Johnston,1932
46,Bill Tilden,1932
46,Ellsworth Vines,1932
46,Frank Shields,1932
46,Henri Cochet,1932
46,Jack Crawford,1932
46,Jean Borotra,1932
46,John Doeg,1932
46,Rene Lacoste,1932
47,Bill Johnston,1933
47,Bill Tilden,1933
47,Ellsworth Vines,1933
47,Frank Shields,1933
47,Henri Cochet,1933
47,Jack Crawford,1933
47,Jean Borotra,1933
47,John Doeg,1933
47,Rene Lacoste,1933
48,Bill Johnston,1933
48,Bill Tilden,1933
48,Ellsworth Vines,1933
48,Henri Cochet,1933
48,Jack Crawford,1933
48,Jean Borotra,1933
48,John Doeg,1933
48,Rene Lacoste,1933
49,Bill Tilden,1933
49,Ellsworth Vines,1933
49,Henri Cochet,1933
49,Jack Crawford,1933
49,John Doeg,1933
49,Rene Lacoste,1933
50,Bill Johnston,1933
50,Bill Tilden,1933
50,Ellsworth Vines,1933
50,Frank Shields,1933
50,Fred Perry,1933
50,Henri Cochet,1933
50,Jack Crawford,1933
50,Jean Borotra,1933
50,John Doeg,1933
50,Rene Lacoste,1933
51,Bill Johnston,1934
51,Bill Tilden,1934
51,Bunny Austin,1934
51,Ellsworth Vines,1934
51,Frank Shields,1934
51,Fred Perry,1934
51,Henri Cochet,1934
51,Jack Crawford,1934
51,Jean Borotra,1934
51,John Doeg,1934
51,Lester Stoefen,1934
51,Rene Lacoste,1934
52,Bill Johnston,1934
52,Bill Tilden,1934
52,Christian Boussus,1934
52,Clifford Sutter,1934
52,Ellsworth Vines,1934
52,Frank Shields,1934
52,Fred Perry,1934
52,Gottfried Von Cramm,1934
52,Henri Cochet,1934
52,Jack Crawford,1934
52,Jean Borotra,1934
52,John Doeg,1934
52,Lester Stoefen,1934
52,Rene Lacoste,1934
53,Bill Johnston,1934
53,Bill Tilden,1934
53,Ellsworth Vines,1934
53,Frank Shields,1934
53,Fred Perry,1934
53,Henri Cochet,1934
53,Jack Crawford,1934
53,Jean Borotra,1934
53,John Doeg,1934
53,Lester Stoefen,1934
53,Rene Lacoste,1934
53,Sidney Jr. Wood,1934
54,Bill Tilden,1934
54,Ellsworth Vines,1934
54,Fred Perry,1934
54,Henri Cochet,1934
54,Jack Crawford,1934
54,John Doeg,1934
54,Rene Lacoste,1934
54,Wilmer Allison,1934
55,Bill Tilden,1935
55,Ellsworth Vines,1935
55,Frank Shields,1935
55,Fred Perry,1935
55,Henri Cochet,1935
55,Jack Crawford,1935
55,Jean Borotra,1935
55,John Doeg,1935
55,Rene Lacoste,1935
55,Wilmer Allison,1935
56,Bill Tilden,1935
56,Ellsworth Vines,1935
56,Fred Perry,1935
56,Henri Cochet,1935
56,Jack Crawford,1935
56,John Doeg,1935
56,Rene Lacoste,1935
57,Bill Tilden,1935
57,Fred Perry,1935
57,Jack Crawford,1935
57,Rene Lacoste,1935
58,Bill Tilden,1935
58,Ellsworth Vines,1935
58,Fred Perry,1935
58,Gottfried Von Cramm,1935
58,Henri Cochet,1935
58,Jack Crawford,1935
58,John Doeg,1935
58,Rene Lacoste,1935
58,Wilmer Allison,1935
59,Bill Tilden,1936
59,Ellsworth Vines,1936
59,Fred Perry,1936
59,Gottfried Von Cramm,1936
59,Henri Cochet,1936
59,Jack Crawford,1936
59,John Doeg,1936
59,Rene Lacoste,1936
59,Wilmer Allison,1936
60,Bill Johnston,1936
60,Bill Tilden,1936
60,Ellsworth Vines,1936
60,Frank Shields,1936
60,Fred Perry,1936
60,Gottfried Von Cramm,1936
60,Henri Cochet,1936
60,Jack Crawford,1936
60,John Doeg,1936
60,Rene Lacoste,1936
60,Sidney Jr. Wood,1936
60,Wilmer Allison,1936
61,Bill Tilden,1936
61,Fred Perry,1936
61,Gottfried Von Cramm,1936
61,Henri Cochet,1936
61,Jack Crawford,1936
61,Rene Lacoste,1936
61,Wilmer Allison,1936
62,Bill Tilden,1936
62,Fred Perry,1936
62,Gottfried Von Cramm,1936
62,Jack Crawford,1936
62,Rene Lacoste,1936
63,Bill Tilden,1937
63,Fred Perry,1937
63,Gottfried Von Cramm,1937
63,Rene Lacoste,1937
64,Bill Tilden,1937
64,Fred Perry,1937
64,Gottfried Von Cramm,1937
64,Rene Lacoste,1937
65,Bill Tilden,1937
65,Don Budge,1937
65,Fred Perry,1937
65,Gottfried Von Cramm,1937
65,Rene Lacoste,1937
66,Bill Tilden,1937
66,Don Budge,1937
66,Fred Perry,1937
66,Gottfried Von Cramm,1937
66,Rene Lacoste,1937
67,Bill Tilden,1938
67,Don Budge,1938
67,Fred Perry,1938
67,Gottfried Von Cramm,1938
67,Rene Lacoste,1938
68,Bill Tilden,1938
68,Don Budge,1938
68,Fred Perry,1938
68,Gottfried Von Cramm,1938
68,Rene Lacoste,1938
69,Bill Tilden,1938
69,Don Budge,1938
69,Fred Perry,1938
69,Gottfried Von Cramm,1938
69,Rene Lacoste,1938
70,Bill Tilden,1938
70,Don Budge,1938
70,Fred Perry,1938
70,Gottfried Von Cramm,1938
70,Rene Lacoste,1938
71,Bill Tilden,1939
71,Don Budge,1939
71,Fred Perry,1939
71,Gottfried Von Cramm,1939
71,Rene Lacoste,1939
72,Bill Tilden,1939
72,Don Budge,1939
72,Fred Perry,1939
72,Gottfried Von Cramm,1939
72,Rene Lacoste,1939
73,Bill Tilden,1939
73,Don Budge,1939
73,Fred Perry,1939
73,Gottfried Von Cramm,1939
73,Rene Lacoste,1939
74,Bill Tilden,1939
74,Don Budge,1939
74,Fred Perry,1939
74,Gottfried Von Cramm,1939
74,Rene Lacoste,1939
75,Bill Tilden,1940
75,Don Budge,1940
75,Fred Perry,1940
75,Gottfried Von Cramm,1940
75,Rene Lacoste,1940
76,Bill Tilden,1940
76,Don Budge,1940
76,Fred Perry,1940
76,Gottfried Von Cramm,1940
76,Rene Lacoste,1940
77,Bill Tilden,1941
77,Don Budge,1941
77,Fred Perry,1941
77,Gottfried Von Cramm,1941
77,Rene Lacoste,1941
78,Bill Tilden,1942
78,Don Budge,1942
78,Fred Perry,1942
78,Gottfried Von Cramm,1942
78,Rene Lacoste,1942
79,Bill Tilden,1943
79,Don Budge,1943
79,Fred Perry,1943
79,Gottfried Von Cramm,1943
79,Rene Lacoste,1943
80,Bill Tilden,1944
80,Don Budge,1944
80,Fred Perry,1944
80,Gottfried Von Cramm,1944
80,Rene Lacoste,1944
81,Bill Tilden,1945
81,Don Budge,1945
81,Fred Perry,1945
81,Gottfried Von Cramm,1945
81,Rene Lacoste,1945
82,Bill Tilden,1946
82,Don Budge,1946
82,Fred Perry,1946
82,Gottfried Von Cramm,1946
82,Rene Lacoste,1946
83,Bill Tilden,1946
83,Don Budge,1946
83,Fred Perry,1946
83,Gottfried Von Cramm,1946
83,Rene Lacoste,1946
84,Bill Tilden,1946
84,Don Budge,1946
84,Fred Perry,1946
84,Gottfried Von Cramm,1946
84,Rene Lacoste,1946
85,Bill Tilden,1946
85,Don Budge,1946
85,Fred Perry,1946
85,Gottfried Von Cramm,1946
85,Rene Lacoste,1946
86,Bill Tilden,1947
86,Don Budge,1947
86,Fred Perry,1947
86,Gottfried Von Cramm,1947
86,Rene Lacoste,1947
87,Bill Tilden,1947
87,Don Budge,1947
87,Fred Perry,1947
87,Gottfried Von Cramm,1947
87,Rene Lacoste,1947
88,Bill Tilden,1947
88,Don Budge,1947
88,Fred Perry,1947
88,Gottfried Von Cramm,1947
88,Rene Lacoste,1947
89,Bill Tilden,1947
89,Don Budge,1947
89,Fred Perry,1947
89,Gottfried Von Cramm,1947
89,Jack Kramer,1947
89,Rene Lacoste,1947
90,Bill Tilden,1948
90,Don Budge,1948
90,Fred Perry,1948
90,Gottfried Von Cramm,1948
90,Jack Kramer,1948
90,Rene Lacoste,1948
91,Bill Tilden,1948
91,Don Budge,1948
91,Frank Parker,1948
91,Fred Perry,1948
91,Gottfried Von Cramm,1948
91,Jack Kramer,1948
91,Rene Lacoste,1948
92,Bill Tilden,1948
92,Don Budge,1948
92,Fred Perry,1948
92,Gottfried Von Cramm,1948
92,Jack Kramer,1948
92,Rene Lacoste,1948
93,Bill Tilden,1948
93,Don Budge,1948
93,Fred Perry,1948
93,Gottfried Von Cramm,1948
93,Jack Kramer,1948
93,Rene Lacoste,1948
94,Bill Tilden,1949
94,Don Budge,1949
94,Fred Perry,1949
94,Gottfried Von Cramm,1949
94,Jack Kramer,1949
94,Rene Lacoste,1949
95,Bill Tilden,1949
95,Don Budge,1949
95,Fred Perry,1949
95,Gottfried Von Cramm,1949
95,Jack Kramer,1949
95,Rene Lacoste,1949
96,Bill Tilden,1949
96,Don Budge,1949
96,Fred Perry,1949
96,"Frederick ""Ted"" Schroeder",1949
96,Gottfried Von Cramm,1949
96,Jack Kramer,1949
96,Rene Lacoste,1949
97,Bill Tilden,1949
97,Don Budge,1949
97,Fred Perry,1949
97,"Frederick ""Ted"" Schroeder",1949
97,Gottfried Von Cramm,1949
97,Jack Kramer,1949
97,Rene Lacoste,1949
98,Bill Tilden,1950
98,Don Budge,1950
98,Fred Perry,1950
98,"Frederick ""Ted"" Schroeder",1950
98,Gottfried Von Cramm,1950
98,Jack Kramer,1950
98,Rene Lacoste,1950
99,Bill Tilden,1950
99,Don Budge,1950
99,Fred Perry,1950
99,"Frederick ""Ted"" Schroeder",1950
99,Gottfried Von Cramm,1950
99,Jack Kramer,1950
99,Rene Lacoste,1950
100,Bill Tilden,1950
100,Don Budge,1950
100,Fred Perry,1950
100,"Frederick ""Ted"" Schroeder",1950
100,Gottfried Von Cramm,1950
100,Jack Kramer,1950
100,Rene Lacoste,1950
101,Bill Tilden,1951
101,Don Budge,1951
101,Fred Perry,1951
101,"Frederick ""Ted"" Schroeder",1951
101,Gottfried Von Cramm,1951
101,Jack Kramer,1951
101,Rene Lacoste,1951
102,Bill Tilden,1951
102,Don Budge,1951
102,Fred Perry,1951
102,"Frederick ""Ted"" Schroeder",1951
102,Gottfried Von Cramm,1951
102,Jack Kramer,1951
102,Rene Lacoste,1951
103,Bill Tilden,1951
103,Don Budge,1951
103,Fred Perry,1951
103,"Frederick ""Ted"" Schroeder",1951
103,Jack Kramer,1951
103,Rene Lacoste,1951
104,Bill Tilden,1951
104,Don Budge,1951
104,Fred Perry,1951
104,"Frederick ""Ted"" Schroeder",1951
104,Jack Kramer,1951
104,Rene Lacoste,1951
105,Bill Tilden,1952
105,Don Budge,1952
105,Fred Perry,1952
105,"Frederick ""Ted"" Schroeder",1952
105,Jack Kramer,1952
105,Rene Lacoste,1952
106,Bill Tilden,1952
106,Don Budge,1952
106,Fred Perry,1952
106,"Frederick ""Ted"" Schroeder",1952
106,Jack Kramer,1952
106,Jaroslav Drobny,1952
106,Rene Lacoste,1952
107,Bill Tilden,1952
107,Don Budge,1952
107,Frank Sedgman,1952
107,Fred Perry,1952
107,"Frederick ""Ted"" Schroeder",1952
107,Jack Kramer,1952
107,Jaroslav Drobny,1952
107,Rene Lacoste,1952
108,Bill Tilden,1952
108,Don Budge,1952
108,Frank Sedgman,1952
108,Fred Perry,1952
108,"Frederick ""Ted"" Schroeder",1952
108,Jack Kramer,1952
108,Jaroslav Drobny,1952
108,Rene Lacoste,1952
109,Bill Tilden,1953
109,Don Budge,1953
109,Frank Sedgman,1953
109,Fred Perry,1953
109,"Frederick ""Ted"" Schroeder",1953
